symbol,tf,model,variant_k,side,entry_time_ms,entry_time,entry_price,exit_time_ms,exit_time,exit_reason,pnl_pct,mae_pct,time_to_close_min,win
ADAUSDT,15m,PPO,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,QLearning,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
ADAUSDT,15m,QLearning,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,Transformer,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
ADAUSDT,15m,Transformer,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,CNN,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,CNN,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,LSTM,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,LSTM,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,DQN,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,DQN,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,PPO,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,PPO,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,QLearning,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,QLearning,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,Transformer,8,long,1727810999999,2024-10-01 19:29,0.3574,1727812199999,2024-10-01 19:49,SL,-1.0,-1.06323,20,False
ADAUSDT,15m,Transformer,8,short,1727844299999,2024-10-02 04:44,0.3585,1727855279999,2024-10-02 07:47,SL,-0.9901,-1.02154,183,False
ADAUSDT,15m,CNN,9,long,1727864999999,2024-10-02 10:29,0.3539,1727866559999,2024-10-02 10:55,SL,-1.0,-1.10201,26,False
ADAUSDT,15m,CNN,9,short,1727910899999,2024-10-02 23:14,0.344,1727915879999,2024-10-03 00:37,SL,0.50505,-0.23202,83,True
