model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_1h_long_V15.pt,1h,long,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,552,455,97,82.43,101.3,✅ ok
DQN_1h_long_V2.pt,1h,long,2,macd|ema_20,32,0.6,221,179,42,81.0,101.93,✅ ok
DQN_1h_long_V3.pt,1h,long,3,macd|rsi_14,32,0.6,204,175,29,85.78,102.26,✅ ok
DQN_1h_long_V4.pt,1h,long,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,142,119,23,83.8,100.85,✅ ok
DQN_1h_long_V5.pt,1h,long,5,macd|ema_20|rsi_14,32,0.6,115,94,21,81.74,99.26,✅ ok
DQN_1h_long_V6.pt,1h,long,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,13,11,2,84.62,99.8,✅ ok
DQN_1h_long_V7.pt,1h,long,7,macd|supertrend|ema_20,32,0.6,80,66,14,82.5,98.78,✅ ok
DQN_1h_long_V8.pt,1h,long,8,macd|supertrend|rsi_14,32,0.6,230,195,35,84.78,100.23,✅ ok
DQN_1h_long_V9.pt,1h,long,9,macd|supertrend|ema_20|rsi_14,32,0.6,266,228,38,85.71,103.37,✅ ok
DQN_1h_short_V1.pt,1h,short,1,macd|supertrend,32,0.6,15,0,15,0.0,92.76,✅ ok
DQN_1h_short_V10.pt,1h,short,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,56,0,56,0.0,75.53,✅ ok
DQN_1h_short_V11.pt,1h,short,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,22,0,22,0.0,89.56,✅ ok
DQN_1h_short_V12.pt,1h,short,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,270,0,270,0.0,25.84,✅ ok
DQN_1h_short_V13.pt,1h,short,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,337,0,337,0.0,18.47,✅ ok
DQN_1h_short_V14.pt,1h,short,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,94,0,94,0.0,62.43,✅ ok
DQN_1h_short_V15.pt,1h,short,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,703,0,703,0.0,2.95,✅ ok
DQN_1h_short_V2.pt,1h,short,2,macd|ema_20,32,0.6,26,0,26,0.0,87.78,✅ ok
DQN_1h_short_V3.pt,1h,short,3,macd|rsi_14,32,0.6,163,0,163,0.0,44.17,✅ ok
