model,timeframe,target,variant,entry_index,exit_index,entry_time,exit_time,tp_hits,pnl_pct_raw,pnl_pct_leveraged,stake_used,deposit_after,used_m1
DQN_15m_short_V10.pt,15m,short,10,51704,51705,2021-06-22 20:00:00+00:00,2021-06-22 20:15:00+00:00,0,-0.015,-0.3,0.93,93.04,False
DQN_15m_short_V10.pt,15m,short,10,52121,52122,2021-06-27 04:15:00+00:00,2021-06-27 04:30:00+00:00,0,-0.015,-0.3,0.93,92.76,False
DQN_15m_short_V10.pt,15m,short,10,52212,52213,2021-06-28 03:00:00+00:00,2021-06-28 03:15:00+00:00,0,-0.015,-0.3,0.93,92.49,False
DQN_15m_short_V10.pt,15m,short,10,52729,52730,2021-07-03 12:15:00+00:00,2021-07-03 12:30:00+00:00,0,-0.015,-0.3,0.92,92.21,False
DQN_15m_short_V10.pt,15m,short,10,54444,54445,2021-07-21 09:00:00+00:00,2021-07-21 09:15:00+00:00,0,-0.015,-0.3,0.92,91.93,False
DQN_15m_short_V10.pt,15m,short,10,54709,54710,2021-07-24 03:15:00+00:00,2021-07-24 03:30:00+00:00,0,-0.015,-0.3,0.92,91.66,False
DQN_15m_short_V10.pt,15m,short,10,54912,54913,2021-07-26 06:00:00+00:00,2021-07-26 06:15:00+00:00,0,-0.015,-0.3,0.92,91.38,False
DQN_15m_short_V10.pt,15m,short,10,54928,54929,2021-07-26 10:00:00+00:00,2021-07-26 10:15:00+00:00,0,-0.015,-0.3,0.91,91.11,False
DQN_15m_short_V10.pt,15m,short,10,55377,55378,2021-07-31 02:15:00+00:00,2021-07-31 02:30:00+00:00,0,-0.015,-0.3,0.91,90.83,False
DQN_15m_short_V10.pt,15m,short,10,55823,55824,2021-08-04 17:45:00+00:00,2021-08-04 18:00:00+00:00,0,-0.015,-0.3,0.91,90.56,False
DQN_15m_short_V10.pt,15m,short,10,55932,55933,2021-08-05 21:00:00+00:00,2021-08-05 21:15:00+00:00,0,-0.015,-0.3,0.91,90.29,False
DQN_15m_short_V10.pt,15m,short,10,56028,56029,2021-08-06 21:00:00+00:00,2021-08-06 21:15:00+00:00,0,-0.015,-0.3,0.9,90.02,False
DQN_15m_short_V10.pt,15m,short,10,56292,56293,2021-08-09 15:00:00+00:00,2021-08-09 15:15:00+00:00,0,-0.015,-0.3,0.9,89.75,False
DQN_15m_short_V10.pt,15m,short,10,61251,61252,2021-09-30 06:45:00+00:00,2021-09-30 07:00:00+00:00,0,-0.015,-0.3,0.9,89.48,False
DQN_15m_short_V10.pt,15m,short,10,61382,61383,2021-10-01 15:30:00+00:00,2021-10-01 15:45:00+00:00,0,-0.015,-0.3,0.89,89.21,False
DQN_15m_short_V10.pt,15m,short,10,61874,61875,2021-10-06 18:30:00+00:00,2021-10-06 18:45:00+00:00,0,-0.015,-0.3,0.89,88.94,False
DQN_15m_short_V10.pt,15m,short,10,62696,62697,2021-10-15 08:00:00+00:00,2021-10-15 08:15:00+00:00,0,-0.015,-0.3,0.89,88.68,False
DQN_15m_short_V10.pt,15m,short,10,63220,63221,2021-10-20 19:00:00+00:00,2021-10-20 19:15:00+00:00,0,-0.015,-0.3,0.89,88.41,False
DQN_15m_short_V10.pt,15m,short,10,64990,64991,2021-11-08 05:30:00+00:00,2021-11-08 05:45:00+00:00,0,-0.015,-0.3,0.88,88.14,False
DQN_15m_short_V10.pt,15m,short,10,66998,66999,2021-11-29 03:30:00+00:00,2021-11-29 03:45:00+00:00,0,-0.015,-0.3,0.88,87.88,False
DQN_15m_short_V10.pt,15m,short,10,69130,69131,2021-12-21 08:30:00+00:00,2021-12-21 08:45:00+00:00,0,-0.015,-0.3,0.88,87.62,False
DQN_15m_short_V10.pt,15m,short,10,69381,69382,2021-12-23 23:15:00+00:00,2021-12-23 23:30:00+00:00,0,-0.015,-0.3,0.88,87.35,False
DQN_15m_short_V10.pt,15m,short,10,73113,73114,2022-01-31 20:15:00+00:00,2022-01-31 20:30:00+00:00,0,-0.015,-0.3,0.87,87.09,False
DQN_15m_short_V10.pt,15m,short,10,73502,73503,2022-02-04 21:30:00+00:00,2022-02-04 21:45:00+00:00,0,-0.015,-0.3,0.87,86.83,False
DQN_15m_short_V10.pt,15m,short,10,75433,75434,2022-02-25 00:15:00+00:00,2022-02-25 00:30:00+00:00,0,-0.015,-0.3,0.87,86.57,False
