time,position,entry,exit,pnl,balance,exited
2024-12-24 10:00:00,LONG,93972.01,96049.83,44.33,16456.57,100%
2024-12-24 11:00:00,LONG,94398.6,96310.99,45.45,16502.01,100%
2024-12-24 12:00:00,LONG,94304.32,96211.53,42.26,16544.28,100%
2024-12-24 13:00:00,LONG,96085.02,98008.71,43.78,16588.06,100%
2024-12-24 14:00:00,LONG,97465.06,98380.0,33.3,16621.35,100%
2024-12-24 15:00:00,LONG,98300.0,98663.95,19.39,16640.74,100%
2024-12-24 16:00:00,LONG,98496.23,98457.43,3.26,16644.0,100%
2024-12-24 17:00:00,LONG,98797.47,98663.95,1.02,16645.02,100%
2024-12-24 18:00:00,LONG,98618.66,98553.46,2.55,16647.57,100%
2024-12-24 19:00:00,LONG,97581.09,98010.77,24.42,16671.98,100%
2024-12-24 20:00:00,LONG,97298.01,97298.01,5.31,16677.3,100%
2024-12-25 10:00:00,SHORT,98457.0,98529.8,2.8,16680.1,100%
2024-12-25 11:00:00,LONG,97907.61,97907.61,4.41,16684.51,100%
2024-12-25 12:00:00,SHORT,98176.03,98185.0,4.2,16688.71,100%
2024-12-25 23:00:00,SHORT,99429.6,99438.16,4.0,16692.7,100%
2024-12-26 00:00:00,SHORT,99028.66,96991.51,45.33,16738.03,100%
2024-12-26 01:00:00,SHORT,99057.01,96991.51,44.66,16782.69,100%
2024-12-26 05:00:00,SHORT,98375.01,96374.97,45.16,16827.85,100%
2024-12-26 06:00:00,SHORT,98121.2,96086.6,46.16,16874.02,100%
2024-12-26 07:00:00,SHORT,97719.99,95664.01,45.5,16919.51,100%
2024-12-26 08:00:00,LONG,95878.56,96700.0,49.28,16968.8,100%
2024-12-26 09:00:00,LONG,95439.25,95399.82,3.33,16972.13,100%
2024-12-26 10:00:00,LONG,95500.02,95477.65,3.66,16975.79,100%
2024-12-26 11:00:00,LONG,95695.81,95636.02,2.79,16978.58,100%
2024-12-26 12:00:00,LONG,95680.71,95636.02,3.33,16981.9,100%
2024-12-26 13:00:00,LONG,95704.44,95636.02,2.48,16984.39,100%
2024-12-26 14:00:00,LONG,95449.36,95374.47,2.38,16986.76,100%
2024-12-26 15:00:00,SHORT,96042.88,96060.0,4.56,16991.32,100%
2024-12-26 16:00:00,SHORT,96519.47,96529.71,4.04,16995.36,100%
2024-12-26 17:00:00,LONG,95824.27,95680.01,1.85,16997.21,100%
2024-12-26 18:00:00,LONG,95743.44,95736.99,4.2,17001.41,100%
2024-12-26 19:00:00,SHORT,96102.25,96128.03,3.74,17005.15,100%
2024-12-26 20:00:00,LONG,95589.6,96060.01,21.49,17026.64,100%
2024-12-27 00:00:00,LONG,95794.56,95777.02,4.02,17030.66,100%
2024-12-27 02:00:00,SHORT,96073.77,95610.99,21.32,17051.98,100%
2024-12-27 07:00:00,LONG,95104.76,95556.02,33.09,17085.07,100%
2024-12-27 08:00:00,SHORT,95724.02,94967.23,34.37,17119.45,100%
2024-12-27 09:00:00,SHORT,96774.13,96990.99,3.2,17122.65,100%
2024-12-27 10:00:00,SHORT,96605.46,94650.4,45.38,17168.03,100%
2024-12-27 11:00:00,SHORT,96952.38,96952.38,4.52,17172.55,100%
