time,position,entry,exit,pnl,balance,exited
2025-02-15,SHORT,97569.66,96692.02,3.83,1893.23,100%
2025-02-16,SHORT,96118.12,96264.0,0.06,1893.29,100%
2025-02-17,LONG,95780.0,96209.58,2.36,1895.66,100%
2025-02-18,LONG,95671.74,95651.41,0.45,1896.1,100%
2025-02-19,LONG,96644.37,97115.01,2.42,1898.52,100%
2025-02-20,SHORT,98305.0,97336.77,5.8,1904.33,100%
2025-02-21,SHORT,96181.98,95735.85,2.39,1906.71,100%
2025-02-22,SHORT,96551.01,96552.0,0.52,1907.23,100%
2025-02-23,SHORT,96258.0,95826.91,2.32,1909.56,100%
2025-02-24,SHORT,91552.88,91656.08,0.25,1909.8,100%
2025-02-25,SHORT,88680.4,88755.94,0.64,1910.44,100%
2025-02-26,LONG,84250.09,88573.47,19.7,1930.14,100%
2025-02-27,LONG,84708.58,84673.81,0.58,1930.72,100%
2025-02-28,LONG,84349.94,84310.0,0.41,1931.13,100%
2025-03-01,LONG,86064.53,86060.69,0.47,1931.6,100%
2025-03-02,SHORT,94270.0,86026.01,33.83,1965.43,100%
2025-03-03,LONG,86220.61,94051.64,36.14,2001.57,100%
2025-03-04,LONG,87281.98,87680.0,2.57,2004.14,100%
2025-03-05,LONG,90606.01,91052.43,2.88,2007.02,100%
2025-03-06,LONG,89931.89,91847.37,5.56,2012.58,100%
2025-03-07,SHORT,86801.75,86105.44,4.45,2017.03,100%
2025-03-08,SHORT,86222.45,85826.95,2.56,2019.59,100%
2025-03-09,LONG,80734.37,86139.71,27.19,2046.78,100%
2025-03-10,LONG,78595.86,81149.98,12.16,2058.94,100%
2025-03-11,LONG,82932.99,82928.98,0.6,2059.54,100%
2025-03-12,LONG,83680.12,83571.43,0.15,2059.69,100%
2025-03-13,LONG,81115.78,83789.58,13.15,2072.84,100%
2025-03-14,SHORT,83983.2,80990.0,14.65,2087.49,100%
2025-03-15,SHORT,84338.44,84356.47,0.51,2088.0,100%
2025-03-16,LONG,82574.53,84355.33,8.97,2096.96,100%
2025-03-17,SHORT,84010.03,83184.79,6.41,2103.37,100%
2025-03-18,LONG,82715.03,83467.4,5.73,2109.1,100%
2025-03-19,SHORT,86845.94,82606.64,20.45,2129.55,100%
2025-03-20,LONG,84223.39,87188.0,14.14,2143.69,100%
2025-03-21,LONG,84088.79,84088.01,0.55,2144.24,100%
2025-03-22,LONG,83840.59,83814.38,0.45,2144.69,100%
2025-03-23,LONG,86082.5,86079.75,0.64,2145.33,100%
2025-03-24,SHORT,87498.16,85716.32,7.77,2153.1,100%
2025-03-25,SHORT,87392.87,87043.47,2.57,2155.67,100%
2025-03-26,SHORT,86909.17,86923.54,0.49,2156.15,100%
2025-03-27,SHORT,87232.01,86386.48,4.53,2160.68,100%
2025-03-28,LONG,84424.38,87161.55,14.12,2174.8,100%
2025-03-29,LONG,82648.54,84364.8,9.09,2183.89,100%
2025-03-30,LONG,82389.99,82662.0,2.41,2186.3,100%
2025-03-31,LONG,82550.01,82491.74,0.39,2186.69,100%
2025-04-01,SHORT,85158.34,82580.0,13.51,2200.21,100%
2025-04-02,LONG,82516.29,85152.88,14.02,2214.23,100%
2025-04-03,LONG,83213.09,83201.98,0.54,2214.77,100%
2025-04-04,SHORT,83889.87,83052.92,4.79,2219.56,100%
2025-04-05,LONG,83537.99,83512.75,0.6,2220.16,100%
2025-04-06,LONG,78430.0,83511.16,28.78,2248.94,100%
2025-04-07,LONG,79163.24,81230.14,6.6,2255.55,100%
2025-04-08,LONG,76322.42,79251.68,16.91,2272.45,100%
2025-04-09,LONG,82615.22,82999.47,2.95,2275.41,100%
2025-04-10,LONG,79607.3,82598.7,17.11,2292.52,100%
2025-04-11,LONG,83423.84,83745.6,2.69,2295.22,100%
2025-04-12,SHORT,85276.9,83391.31,9.91,2305.13,100%
2025-04-13,LONG,83760.0,85448.89,8.68,2313.81,100%
2025-04-14,LONG,84591.58,84934.79,2.71,2316.52,100%
2025-04-15,LONG,83643.99,85369.49,6.97,2323.49,100%
2025-04-16,LONG,84030.38,84852.0,4.77,2328.26,100%
2025-04-18,LONG,84474.69,84439.69,0.55,2328.81,100%
2025-04-19,LONG,85077.01,85050.0,0.48,2329.3,100%
2025-04-20,LONG,85179.24,86943.41,6.69,2335.98,100%
2025-04-21,LONG,87516.23,87913.37,2.87,2338.85,100%
2025-04-22,LONG,93442.99,93888.52,2.88,2341.73,100%
2025-04-23,LONG,93691.08,93628.76,0.4,2342.13,100%
2025-04-24,LONG,93980.47,94449.96,3.11,2345.24,100%
2025-04-25,SHORT,94638.68,94195.5,3.2,2348.43,100%
2025-04-26,SHORT,94628.0,94646.61,0.52,2348.96,100%
2025-04-27,LONG,93749.3,94613.99,5.2,2354.16,100%
2025-04-28,SHORT,95011.18,93099.77,7.44,2361.59,100%
2025-04-29,LONG,94256.82,94650.92,3.1,2364.7,100%
2025-04-30,LONG,94172.0,94517.46,2.7,2367.39,100%
2025-05-01,SHORT,96489.91,94169.45,11.36,2378.75,100%
2025-05-02,SHORT,96887.14,96896.82,0.6,2379.35,100%
2025-05-03,SHORT,95856.42,93900.0,6.34,2385.68,100%
2025-05-04,LONG,94277.62,96215.43,8.39,2394.08,100%
2025-05-05,LONG,94733.68,96737.99,6.51,2400.58,100%
2025-05-06,LONG,96834.02,96825.25,0.74,2401.33,100%
2025-05-07,LONG,97030.5,97023.21,0.7,2402.03,100%
2025-05-08,LONG,103261.6,103061.73,-0.08,2401.95,100%
2025-05-09,LONG,102971.99,103439.8,2.98,2404.92,100%
2025-05-10,SHORT,104809.53,103823.49,7.37,2412.3,100%
2025-05-11,SHORT,104118.0,104149.63,0.6,2412.9,100%
2025-05-12,LONG,102791.32,104931.92,7.46,2420.36,100%
2025-05-13,SHORT,104103.72,101936.72,7.45,2427.81,100%
2025-05-14,SHORT,103507.82,103511.0,0.65,2428.46,100%
2025-05-15,LONG,103763.71,103741.78,0.59,2429.05,100%
2025-05-16,LONG,103463.9,103361.43,0.29,2429.35,100%
2025-05-17,LONG,103126.65,103042.64,0.32,2429.67,100%
2025-05-18,LONG,106454.26,106404.22,0.53,2430.21,100%
2025-05-19,LONG,105573.74,105945.33,3.28,2433.49,100%
2025-05-20,LONG,106849.99,107327.69,3.09,2436.58,100%
2025-05-21,LONG,109643.99,109608.17,0.71,2437.29,100%
2025-05-23,LONG,107318.3,111511.11,19.44,2456.73,100%
2025-05-24,LONG,107761.91,107741.54,0.55,2457.28,100%
2025-05-25,LONG,109004.19,109545.18,3.22,2460.51,100%
2025-05-26,SHORT,109434.79,109487.7,0.63,2461.13,100%
2025-05-27,SHORT,108938.17,108524.53,3.01,2464.14,100%
2025-05-28,SHORT,107781.78,107796.0,0.59,2464.73,100%
2025-05-29,SHORT,105589.75,105619.05,0.63,2465.36,100%
2025-05-30,LONG,103985.48,106095.23,8.61,2473.97,100%
2025-05-31,SHORT,104591.88,104127.28,3.19,2477.16,100%
2025-06-01,SHORT,105642.93,104591.9,5.54,2482.7,100%
