time,position,entry,exit,pnl,balance,exited
2024-11-21 06:30:00,SHORT,97366.45,97374.99,96.36,376295.9,100%
2024-11-21 06:45:00,LONG,97004.02,97411.68,444.58,376740.49,100%
2024-11-21 07:00:00,LONG,97116.51,97572.44,480.34,377220.82,100%
2024-11-21 07:15:00,LONG,97127.09,97572.44,481.27,377702.09,100%
2024-11-21 07:30:00,LONG,97060.01,97522.73,498.23,378200.32,100%
2024-11-21 07:45:00,LONG,96912.01,97838.67,772.66,378972.98,100%
2024-11-21 08:00:00,LONG,96954.36,97411.68,486.8,379459.78,100%
2024-11-21 08:15:00,LONG,96880.04,97838.67,791.72,380251.49,100%
2024-11-21 08:30:00,LONG,96788.24,97740.0,798.54,381050.03,100%
2024-11-21 08:45:00,LONG,97107.99,97572.44,492.56,381542.59,100%
2024-11-21 09:00:00,SHORT,97419.49,97500.0,59.13,381601.72,100%
2024-11-21 09:15:00,LONG,97424.0,97411.68,101.98,381703.7,100%
2024-11-21 09:30:00,LONG,97531.1,97522.73,90.75,381794.46,100%
2024-11-21 09:45:00,LONG,97613.24,97572.44,89.21,381883.67,100%
2024-11-21 10:15:00,LONG,97526.0,97522.73,94.8,381978.47,100%
2024-11-21 10:30:00,LONG,97615.0,97572.44,87.88,382066.34,100%
2024-11-21 10:45:00,SHORT,97756.0,97352.3,483.17,382549.51,100%
2024-11-21 11:00:00,LONG,98257.33,98192.54,65.76,382615.27,100%
2024-11-21 11:15:00,SHORT,98019.99,97568.08,481.11,383096.39,100%
2024-11-21 11:30:00,LONG,98007.79,97999.61,123.85,383220.23,100%
2024-11-21 11:45:00,LONG,97974.99,97884.0,81.76,383301.99,100%
2024-11-21 12:00:00,SHORT,97886.25,97500.0,460.31,383762.3,100%
2024-11-21 12:15:00,LONG,97950.01,97884.0,101.47,383863.77,100%
2024-11-21 12:30:00,LONG,97920.0,98360.0,461.04,384324.81,100%
2024-11-21 12:45:00,LONG,97317.93,97317.93,104.98,384429.79,100%
2024-11-21 13:00:00,LONG,97449.78,97884.0,529.31,384959.1,100%
2024-11-21 13:15:00,LONG,97122.09,97116.01,98.74,385057.84,100%
2024-11-21 13:30:00,LONG,97492.02,97884.0,496.58,385554.43,100%
2024-11-21 13:45:00,LONG,97512.01,97884.0,481.31,386035.74,100%
2024-11-21 14:00:00,LONG,97424.28,98360.0,797.17,386832.91,100%
2024-11-21 14:15:00,LONG,97276.0,98192.54,782.67,387615.58,100%
2024-11-21 14:30:00,LONG,97249.99,98192.54,788.01,388403.59,100%
2024-11-21 14:45:00,LONG,97042.86,96960.0,55.36,388458.95,100%
2024-11-21 15:00:00,LONG,96911.99,98900.0,999.97,389458.92,100%
2024-11-21 15:15:00,LONG,96156.0,96156.0,173.6,389632.51,100%
2024-11-21 15:30:00,LONG,96234.52,98182.31,984.04,390616.56,100%
2024-11-21 15:45:00,LONG,96672.0,98666.0,1011.43,391627.99,100%
2024-11-21 16:00:00,LONG,96739.75,98789.52,1035.0,392662.98,100%
2024-11-21 16:15:00,LONG,97147.99,98010.72,791.62,393454.6,100%
2024-11-21 16:30:00,LONG,97203.29,98010.72,764.34,394218.94,100%
2024-11-21 16:45:00,LONG,97147.99,98010.72,794.76,395013.7,100%
2024-11-21 17:00:00,LONG,97295.7,98192.54,797.65,395811.35,100%
2024-11-21 17:15:00,LONG,97614.44,98010.72,489.01,396300.36,100%
2024-11-21 17:30:00,LONG,97600.0,98010.72,484.7,396785.06,100%
2024-11-21 17:45:00,LONG,98048.65,98010.72,101.89,396886.95,100%
2024-11-21 18:00:00,LONG,97988.0,97884.0,74.12,396961.07,100%
2024-11-21 18:15:00,LONG,98331.12,98280.01,83.88,397044.95,100%
2024-11-21 18:30:00,LONG,98074.0,98010.72,81.41,397126.36,100%
2024-11-21 18:45:00,LONG,98280.01,98280.01,102.94,397229.3,100%
2024-11-21 19:00:00,LONG,98789.52,98785.49,110.23,397339.53,100%
2024-11-21 19:15:00,LONG,98699.38,98656.01,76.19,397415.72,100%
2024-11-21 19:30:00,SHORT,98360.0,98392.0,97.79,397513.51,100%
2024-11-21 19:45:00,LONG,97829.83,97802.93,88.88,397602.39,100%
2024-11-21 20:00:00,LONG,98278.55,98765.4,515.07,398117.45,100%
2024-11-21 20:15:00,LONG,98562.89,98561.27,102.2,398219.66,100%
2024-11-21 20:30:00,LONG,97901.67,97889.01,139.58,398359.24,100%
2024-11-21 20:45:00,LONG,98118.16,98105.09,96.35,398455.59,100%
2024-11-21 21:00:00,LONG,98135.4,98105.09,82.36,398537.95,100%
2024-11-21 21:15:00,LONG,97949.99,97931.98,90.73,398628.68,100%
2024-11-21 21:30:00,LONG,97831.46,98785.49,812.52,399441.2,100%
2024-11-21 21:45:00,LONG,97973.8,97964.14,101.36,399542.56,100%
2024-11-21 22:00:00,LONG,97888.22,97847.22,76.89,399619.45,100%
2024-11-21 22:30:00,LONG,98239.13,98724.86,507.09,400126.54,100%
2024-11-21 23:00:00,SHORT,98554.55,98554.99,103.5,400230.04,100%
2024-11-22 00:15:00,LONG,98430.48,98900.01,507.25,400737.29,100%
2024-11-22 00:30:00,LONG,98153.98,98561.27,471.27,401208.56,100%
2024-11-22 00:45:00,LONG,97987.57,98445.56,498.82,401707.38,100%
2024-11-22 01:00:00,LONG,98171.58,98656.01,528.61,402235.99,100%
2024-11-22 01:30:00,LONG,97900.0,98843.83,805.15,403041.14,100%
2024-11-22 02:15:00,LONG,98337.65,98785.49,493.27,403534.41,100%
2024-11-22 02:30:00,LONG,98580.59,98561.27,89.08,403623.49,100%
2024-11-22 02:45:00,LONG,98617.46,98561.27,74.89,403698.38,100%
2024-11-22 03:00:00,SHORT,98913.57,98920.0,99.05,403797.43,100%
2024-11-22 03:15:00,SHORT,98656.01,98183.98,523.04,404320.47,100%
2024-11-22 03:30:00,LONG,98647.5,98634.08,103.33,404423.8,100%
2024-11-22 04:00:00,LONG,98773.96,98765.4,112.65,404536.45,100%
2024-11-22 04:15:00,LONG,98871.01,98843.83,85.79,404622.24,100%
2024-11-22 04:30:00,LONG,99022.59,98940.04,51.41,404673.65,100%
2024-11-22 05:00:00,LONG,98799.98,98785.49,103.72,404777.37,100%
2024-11-22 05:15:00,LONG,98945.45,98940.04,99.88,404877.25,100%
2024-11-22 05:30:00,LONG,98863.1,98843.83,89.92,404967.16,100%
2024-11-22 06:15:00,LONG,98765.97,98765.4,119.36,405086.53,100%
2024-11-22 06:45:00,LONG,98999.99,98940.04,65.29,405151.82,100%
2024-11-22 07:00:00,LONG,98972.72,98940.04,87.65,405239.47,100%
2024-11-22 07:15:00,LONG,99232.78,101312.02,1298.51,406537.98,100%
2024-11-22 07:30:00,SHORT,99372.92,98896.43,508.72,407046.7,100%
