family,tf,variant,tf_data_exists,m1_exists,long_model,short_model,long_ext,short_ext,long_spec,short_spec,long_spec_feats,short_spec_feats,long_trades_rows,short_trades_rows,long_issues,short_issues,issues_overall,hint
CNN,30m,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V1.pt,.pt,.pt,True,True,36,36,0,9799,no_trades_csv_or_empty,ok,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,30m,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V2.pt,.pt,.pt,True,True,2,2,8654,9799,ok,ok,ok,ok
CNN,30m,V3,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V3.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V3.pt,.pt,.pt,True,True,2,2,7279,4567,ok,ok,ok,ok
CNN,30m,V4,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V4.pt,.pt,.pt,True,True,4,4,509,9271,ok,ok,ok,ok
CNN,30m,V5,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V5.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V5.pt,.pt,.pt,True,True,3,3,7143,5618,ok,ok,ok,ok
CNN,30m,V6,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V6.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V6.pt,.pt,.pt,True,True,5,5,1020,9182,ok,ok,ok,ok
CNN,30m,V7,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V7.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V7.pt,.pt,.pt,True,True,3,3,3924,6444,ok,ok,ok,ok
CNN,30m,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V8.pt,.pt,.pt,True,True,3,3,32,9780,ok,ok,ok,ok
CNN,30m,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V9.pt,.pt,.pt,True,True,4,4,9587,21,ok,ok,ok,ok
CNN,30m,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V10.pt,.pt,.pt,True,True,7,7,3010,7336,ok,ok,ok,ok
CNN,30m,V11,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V11.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V11.pt,.pt,.pt,True,True,8,8,1595,8792,ok,ok,ok,ok
CNN,30m,V12,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V12.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V12.pt,.pt,.pt,True,True,9,9,5630,6668,ok,ok,ok,ok
CNN,30m,V13,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V13.pt,.pt,.pt,True,True,23,23,9595,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,30m,V14,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V14.pt,.pt,.pt,True,True,28,28,9595,9799,ok,ok,ok,ok
CNN,30m,V15,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_30m_short_V15.pt,.pt,.pt,True,True,36,36,9595,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,15m,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V1.pt,.pt,.pt,True,True,36,36,11397,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,15m,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V2.pt,.pt,.pt,True,True,2,2,732,10775,ok,ok,ok,ok
CNN,15m,V3,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V3.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V3.pt,.pt,.pt,True,True,2,2,9396,4456,ok,ok,ok,ok
CNN,15m,V4,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V4.pt,.pt,.pt,True,True,4,4,7868,7300,ok,ok,ok,ok
CNN,15m,V5,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V5.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V5.pt,.pt,.pt,True,True,3,3,4934,8382,ok,ok,ok,ok
CNN,15m,V6,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V6.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V6.pt,.pt,.pt,True,True,5,5,7929,3555,ok,ok,ok,ok
CNN,15m,V7,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V7.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V7.pt,.pt,.pt,True,True,3,3,6016,5454,ok,ok,ok,ok
CNN,15m,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V8.pt,.pt,.pt,True,True,3,3,6311,9100,ok,ok,ok,ok
CNN,15m,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V9.pt,.pt,.pt,True,True,4,4,9754,3848,ok,ok,ok,ok
CNN,15m,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V10.pt,.pt,.pt,True,True,7,7,4722,7525,ok,ok,ok,ok
CNN,15m,V11,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V11.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V11.pt,.pt,.pt,True,True,8,8,1751,10593,ok,ok,ok,ok
CNN,15m,V12,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V12.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V12.pt,.pt,.pt,True,True,9,9,6938,5379,ok,ok,ok,ok
CNN,15m,V13,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V13.pt,.pt,.pt,True,True,23,23,11397,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,15m,V14,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V14.pt,.pt,.pt,True,True,28,28,11397,11441,ok,ok,ok,ok
CNN,15m,V15,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_15m_short_V15.pt,.pt,.pt,True,True,36,36,11397,11441,ok,ok,ok,ok
DQN,1d,V1,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V1.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V1.pt,.pt,.pt,True,True,36,36,1321,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
DQN,1d,V2,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V2.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V2.pt,.pt,.pt,True,True,2,2,1197,132,ok,ok,ok,ok
DQN,1d,V3,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V3.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V3.pt,.pt,.pt,True,True,2,2,964,400,ok,ok,ok,ok
DQN,1d,V4,True,True,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_long_V4.pt,D:\Project\MeowBot\models\BTCUSDT\DQN\DQN_1d_short_V4.pt,.pt,.pt,True,True,4,4,746,581,ok,ok,ok,ok
